"Team","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","Primary"
"ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48200,"#7F0009"
"CHI",NA,NA,17886,16016,13387,16388,12922,14005,17153,17238,14111,16490,17034,15487,15814,14274,16409,15228,16076,16003,15602,17383,"#CE1432"
"CHV",NA,NA,NA,NA,NA,NA,NA,NA,NA,17080,19840,14305,15114,15725,14576,14830,13056,8366,7063,NA,NA,NA,"#9D2235"
"CLB",18950,15043,12274,17696,15451,17511,17429,16250,16872,12916,13294,15230,14662,14175,14642,12185,14397,16080,16881,16985,17125,15439,"#FEF100"
"COL",10213,11835,14812,14029,12580,16481,20690,16772,14195,16638,12056,14749,13659,13018,14329,14838,15175,15440,15082,15657,16278,15322,"#960A2C"
"DCU",15262,16698,16007,17419,18580,21518,16519,15565,17232,16664,18251,20967,19835,15585,14532,15181,13846,13646,17030,16244,17081,17904,"#DA0000"
"FCD",16011,9678,10947,12211,13102,12574,13122,7906,9008,11189,14982,15154,13024,12440,10815,12861,14199,15373,16816,16015,14094,15122,"#BF0D3E"
"HOU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18935,15883,16939,17624,17310,17694,21015,19923,20117,20658,19021,17500,"#F68712"
"LAG",28916,20626,21784,17632,20400,17387,19047,21983,23809,24204,20814,24252,26009,20827,21437,23335,23136,22152,21258,23392,25138,22246,"#00245D"
"MIA",NA,NA,10284,8689,7460,11177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"#012169"
"MIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20538,"#8DC8E8"
"MTL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22772,20602,17421,17750,20669,20046,"#04549B"
"NER",19205,21423,19187,16795,15463,15654,16927,14641,12226,12525,11786,16787,17580,12427,12987,13222,14001,14844,16681,19627,20185,19367,"#C63323"
"NYC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29016,27196,22177,"#78A5DB"
"NYRB",23898,16899,16519,14706,17621,20806,18155,15822,17195,15077,14570,16530,15928,12744,18441,19691,18281,19461,19421,19657,20620,21175,"#ED1E36"
"ORL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32847,31324,25028,"#612B9B"
"PHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19254,18259,18053,17867,17631,17451,17519,16812,"#0E1B2A"
"POR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18827,20438,20674,20806,21144,21144,21144,"#004812"
"RSL",NA,NA,NA,NA,NA,NA,NA,NA,NA,18037,16366,15960,16179,17831,17095,17594,19087,19218,20351,20160,19759,18781,"#B30838"
"SEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31203,36173,38496,43144,44038,43734,44247,42636,43666,"#658D1B"
"SJE",17232,13597,13653,14959,12460,9635,11150,10466,13001,13037,NA,NA,13856,10329,9659,11858,13293,12765,14947,20979,19930,19875,"#0D4C92"
"SKC",12878,9058,8072,8183,9112,10954,12255,15573,14816,9691,11083,11586,10686,10053,10287,17810,19404,19708,20003,19687,19597,19537,"#93B1D7"
"TB",11679,11333,10312,13106,9452,10479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"#5BC2E7"
"TOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20130,20120,20344,20453,20267,18155,18131,22086,23451,26538,27647,"#E31937"
"VAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20412,19475,20038,20408,20507,22330,21416,"#00245E"
